prompt_id,category,model,n_samples,hivemind_score,embedding_similarity,ast_similarity,naming_similarity,ngram_similarity,pattern_entropy,unique_pattern_sets,library_entropy,unique_import_sets
RF-03,REFACTOR,Gemini 2.5 Pro,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
RF-03,REFACTOR,o3-mini,4,0.4569544087893517,0.0,0.8031305114638448,0.7156862745098039,0.4202301733800182,1.4999999995671913,3,0.8112781241705938,2
RF-04,REFACTOR,Claude 3.5 Haiku,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
RF-04,REFACTOR,Claude Sonnet 4,4,0.4870448190584353,0.0,0.8622035728813948,0.6873660686282698,0.40708877500968255,0.8112781241705938,2,1.4999999995671913,3
RF-04,REFACTOR,GPT-4o,4,0.5675891758732249,0.0,0.9595959595959597,0.8444444444444444,0.5722926748291058,0.8112781241705938,2,-1.4426951601859516e-10,1
RF-04,REFACTOR,GPT-4o-mini,4,0.4188846550962926,0.0,0.8429712864697385,0.5856468062265164,0.27341648146085135,1.4999999995671913,3,1.4999999995671913,3
RF-04,REFACTOR,Gemini 2.5 Flash,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
RF-04,REFACTOR,Gemini 2.5 Pro,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
RF-04,REFACTOR,o3-mini,4,0.3499682262045549,0.0,0.7631271330781736,0.4990330316912846,0.17364335496123548,1.9999999994229218,4,1.4999999995671913,3
RF-05,REFACTOR,Claude 3.5 Haiku,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
RF-05,REFACTOR,Claude Sonnet 4,4,0.4160519001670555,0.0,0.8071262008301145,0.4799530359071922,0.30214897944738833,0.8112781241705938,2,0.8112781241705938,2
RF-05,REFACTOR,GPT-4o,4,0.63491114535821,0.0,0.9710144927536232,0.8731796812292169,0.7834772394610123,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
RF-05,REFACTOR,GPT-4o-mini,4,0.6712310565910764,0.0,1.0,0.9444444444444443,0.8822811179825232,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
RF-05,REFACTOR,Gemini 2.5 Flash,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
RF-05,REFACTOR,Gemini 2.5 Pro,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
RF-05,REFACTOR,o3-mini,4,0.3153438651100616,0.0,0.7280543065426787,0.30191655671289624,0.15297984744923854,1.4999999995671913,3,1.9999999994229218,4
SD-01,SYSTEM_DESIGN,Claude 3.5 Haiku,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
SD-01,SYSTEM_DESIGN,Claude Sonnet 4,4,0.2199768830384985,0.0,0.0,0.48891194551891,0.3282473204915751,0.8112781241705938,2,1.4999999995671913,3
SD-01,SYSTEM_DESIGN,GPT-4o,4,0.46767798713857195,0.0,0.8470262036438507,0.6179778294296442,0.3957898298713349,0.8112781241705938,2,0.8112781241705938,2
SD-01,SYSTEM_DESIGN,GPT-4o-mini,4,0.36925442682166026,0.0,0.16666666666666666,0.6898744875001427,0.597419084334374,-1.4426951601859516e-10,1,0.8112781241705938,2
SD-01,SYSTEM_DESIGN,Gemini 2.5 Flash,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
SD-01,SYSTEM_DESIGN,Gemini 2.5 Pro,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
SD-01,SYSTEM_DESIGN,o3-mini,4,0.44160215394642155,0.0,0.875,0.41940993351363537,0.25980111492590335,-1.4426951601859516e-10,1,1.4999999995671913,3
SD-02,SYSTEM_DESIGN,Claude 3.5 Haiku,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
SD-02,SYSTEM_DESIGN,Claude Sonnet 4,4,0.17309079799596366,0.0,0.0,0.4255744244511906,0.2531727539419906,1.4999999995671913,3,1.9999999994229218,4
SD-02,SYSTEM_DESIGN,GPT-4o,4,0.31651586801476206,0.0,0.16666666666666666,0.5518445032333922,0.4298686713107198,-1.4426951601859516e-10,1,1.4999999995671913,3
SD-02,SYSTEM_DESIGN,GPT-4o-mini,4,0.4773639372307347,0.0,0.5,0.611114971548576,0.8676062861080704,-1.4426951601859516e-10,1,0.8112781241705938,2
SD-02,SYSTEM_DESIGN,Gemini 2.5 Flash,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
SD-02,SYSTEM_DESIGN,Gemini 2.5 Pro,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
SD-02,SYSTEM_DESIGN,o3-mini,4,0.35260587427916945,0.0,0.853562675070028,0.2627298395395996,0.13335047284971915,0.9999999997114609,2,1.9999999994229218,4
SD-03,SYSTEM_DESIGN,Claude 3.5 Haiku,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
SD-03,SYSTEM_DESIGN,Claude Sonnet 4,4,0.2694489766957004,0.0,0.0,0.6824144246762206,0.44199616722781077,0.9999999997114609,2,0.8112781241705938,2
SD-03,SYSTEM_DESIGN,GPT-4o,4,0.5241801431325057,0.0,0.9127675565175565,0.6656230296343001,0.5993750147685092,0.8112781241705938,2,-1.4426951601859516e-10,1
SD-03,SYSTEM_DESIGN,GPT-4o-mini,4,0.5418645885491664,0.0,0.9833333333333334,0.6971336332749377,0.5995857458970725,0.9999999997114609,2,-1.4426951601859516e-10,1
SD-03,SYSTEM_DESIGN,Gemini 2.5 Flash,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
SD-03,SYSTEM_DESIGN,Gemini 2.5 Pro,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
SD-03,SYSTEM_DESIGN,o3-mini,4,0.23378460797425193,0.0,0.36962250712250705,0.21156994635865733,0.17405064040608995,0.8112781241705938,2,1.4999999995671913,3
SD-04,SYSTEM_DESIGN,Claude 3.5 Haiku,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
SD-04,SYSTEM_DESIGN,Claude Sonnet 4,4,0.19337570486491534,0.0,0.0,0.5055872032033747,0.28172176139875643,1.4999999995671913,3,1.9999999994229218,4
SD-04,SYSTEM_DESIGN,GPT-4o,4,0.44746362288307684,0.0,0.8378378378378378,0.5238095238095237,0.44383727990285377,0.9999999997114609,2,0.9999999997114609,2
SD-04,SYSTEM_DESIGN,GPT-4o-mini,4,0.353966342582336,0.0,0.42792792792792794,0.4815660474716202,0.5180917016336654,0.8112781241705938,2,0.8112781241705938,2
SD-04,SYSTEM_DESIGN,Gemini 2.5 Flash,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
SD-04,SYSTEM_DESIGN,Gemini 2.5 Pro,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
SD-04,SYSTEM_DESIGN,o3-mini,4,0.405169321966075,0.0,0.8476354234310169,0.4381313025620421,0.21784539823288118,0.8112781241705938,2,1.4999999995671913,3
SD-05,SYSTEM_DESIGN,Claude 3.5 Haiku,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
SD-05,SYSTEM_DESIGN,Claude Sonnet 4,4,0.19884717100668542,0.0,0.0,0.4629344562284923,0.26395742056468224,0.9999999997114609,2,1.9999999994229218,4
SD-05,SYSTEM_DESIGN,GPT-4o,4,0.644225154788247,0.0,1.0,0.8700000000000001,0.8015010318895861,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
SD-05,SYSTEM_DESIGN,GPT-4o-mini,4,0.5800164587975714,0.0,0.9164021164021164,0.8182769726247986,0.5817369011151571,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
SD-05,SYSTEM_DESIGN,Gemini 2.5 Flash,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
SD-05,SYSTEM_DESIGN,Gemini 2.5 Pro,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
SD-05,SYSTEM_DESIGN,o3-mini,4,0.33961277055547,0.0,0.8476906748645879,0.36183720784733325,0.146595512781914,1.9999999994229218,4,1.4999999995671913,3
