prompt_id,category,model,n_samples,hivemind_score,embedding_similarity,ast_similarity,naming_similarity,ngram_similarity,pattern_entropy,unique_pattern_sets,library_entropy,unique_import_sets
CT-01,CREATIVE_TOOL,Claude Sonnet 4,4,0.15726045880763095,0.0,0.0,0.3388246462575107,0.2633035302780125,1.4999999995671913,3,1.9999999994229218,4
CT-01,CREATIVE_TOOL,GPT-4o,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
CT-01,CREATIVE_TOOL,GPT-4o-mini,4,0.3023976602900297,0.0,0.16666666666666666,0.5000359502448611,0.40482535713054535,-1.4426951601859516e-10,1,1.4999999995671913,3
CT-01,CREATIVE_TOOL,Gemini 2.5 Flash,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
CT-01,CREATIVE_TOOL,Gemini 2.5 Pro,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
CT-01,CREATIVE_TOOL,o3-mini,4,0.3273233102477759,0.0,0.7663726751962047,0.3363239282388219,0.12310237191022257,1.4999999995671913,3,0.8112781241705938,2
CT-02,CREATIVE_TOOL,Claude 3.5 Haiku,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
CT-02,CREATIVE_TOOL,Claude Sonnet 4,4,0.1927609488253471,0.0,0.0,0.37960902709006117,0.2925449836423646,0.8112781241705938,2,-1.4426951601859516e-10,1
CT-02,CREATIVE_TOOL,GPT-4o,4,0.36938648201929863,0.0,0.4510242843576177,0.5156223893065998,0.3567062204251019,-1.4426951601859516e-10,1,0.8112781241705938,2
CT-02,CREATIVE_TOOL,GPT-4o-mini,4,0.2535790135842619,0.0,0.0,0.43872716554370506,0.6191745640969376,0.8112781241705938,2,1.4999999995671913,3
CT-02,CREATIVE_TOOL,Gemini 2.5 Flash,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
CT-02,CREATIVE_TOOL,Gemini 2.5 Pro,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
CT-02,CREATIVE_TOOL,o3-mini,4,0.4147311756155227,0.0,0.8010141093474427,0.7248525628960412,0.24115868231256352,1.9999999994229218,4,0.8112781241705938,2
CT-03,CREATIVE_TOOL,Claude 3.5 Haiku,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
CT-03,CREATIVE_TOOL,Claude Sonnet 4,4,0.19845001342911994,0.0,0.0,0.45981860495763266,0.26546417174205833,0.9999999997114609,2,1.9999999994229218,4
CT-03,CREATIVE_TOOL,GPT-4o,4,0.37731128430357685,0.0,0.8037815126050419,0.3269105222734255,0.2954475668089776,0.9999999997114609,2,-1.4426951601859516e-10,1
CT-03,CREATIVE_TOOL,GPT-4o-mini,4,0.4970394282955157,0.0,0.8740919489154405,0.5540654189257733,0.4513557151779463,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
CT-03,CREATIVE_TOOL,Gemini 2.5 Flash,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
CT-03,CREATIVE_TOOL,Gemini 2.5 Pro,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
CT-03,CREATIVE_TOOL,o3-mini,4,0.2000710570014047,0.0,0.3682044494863553,0.18847839604479863,0.13549510270952816,1.4999999995671913,3,1.9999999994229218,4
CT-04,CREATIVE_TOOL,Claude 3.5 Haiku,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
CT-04,CREATIVE_TOOL,Claude Sonnet 4,4,0.4289399581435261,0.0,0.8944520149079898,0.4469898977757669,0.28647719333596694,0.8112781241705938,2,1.9999999994229218,4
CT-04,CREATIVE_TOOL,GPT-4o,4,0.400241995196959,0.0,0.776734556309885,0.4977642276422764,0.3767034038440369,1.4999999995671913,3,-1.4426951601859516e-10,1
CT-04,CREATIVE_TOOL,GPT-4o-mini,4,0.611968735376915,0.0,1.0,0.8571428571428572,0.603601092956897,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
CT-04,CREATIVE_TOOL,Gemini 2.5 Flash,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
CT-04,CREATIVE_TOOL,Gemini 2.5 Pro,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
CT-04,CREATIVE_TOOL,o3-mini,4,0.28537135724909407,0.0,0.6865740740740741,0.16760658477950566,0.0902657006559317,0.9999999997114609,2,1.4999999995671913,3
CT-05,CREATIVE_TOOL,Claude 3.5 Haiku,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
CT-05,CREATIVE_TOOL,Claude Sonnet 4,4,0.13347793271614528,0.0,0.0,0.2363283866367291,0.1303039247500989,0.9999999997114609,2,1.9999999994229218,4
CT-05,CREATIVE_TOOL,GPT-4o,4,0.6976489028261256,0.0,1.0,1.0,0.9843260188087775,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
CT-05,CREATIVE_TOOL,GPT-4o-mini,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
CT-05,CREATIVE_TOOL,Gemini 2.5 Flash,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
CT-05,CREATIVE_TOOL,Gemini 2.5 Pro,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
CT-05,CREATIVE_TOOL,o3-mini,4,0.3682529531371025,0.0,0.8104890604890604,0.4104577067140878,0.22359431105061933,1.4999999995671913,3,1.9999999994229218,4
NM-01,NAMING,Claude 3.5 Haiku,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
NM-01,NAMING,Claude Sonnet 4,4,0.5873556450624744,0.0,0.9268737798149562,0.8615856469283187,0.7357511657472763,0.8112781241705938,2,-1.4426951601859516e-10,1
NM-01,NAMING,GPT-4o,4,0.6971042471090562,0.0,1.0,1.0,0.9806949806949806,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
NM-01,NAMING,GPT-4o-mini,4,0.63603896104377,0.0,1.0,0.8409090909090908,0.7857142857142856,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
NM-01,NAMING,Gemini 2.5 Flash,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
NM-01,NAMING,Gemini 2.5 Pro,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
NM-01,NAMING,o3-mini,4,0.5014356493136468,0.0,0.8507216376286585,0.7167671887499473,0.4829627086367502,0.8112781241705938,2,-1.4426951601859516e-10,1
NM-02,NAMING,Claude 3.5 Haiku,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
NM-02,NAMING,Claude Sonnet 4,4,0.19105187826964737,0.0,0.0,0.43968889505208164,0.24298288388630943,0.9999999997114609,2,1.4999999995671913,3
NM-02,NAMING,GPT-4o,4,0.5216452695702772,0.0,0.8851928851928852,0.6279569892473118,0.49837100278523017,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
NM-02,NAMING,GPT-4o-mini,4,0.4244151670080529,0.0,0.8394408757311983,0.5200658252016486,0.29250077572426,0.9999999997114609,2,0.9999999997114609,2
NM-02,NAMING,Gemini 2.5 Flash,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
NM-02,NAMING,Gemini 2.5 Pro,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
NM-02,NAMING,o3-mini,4,0.348808773960799,0.0,0.7479571820544911,0.35436441904637395,0.1618661864107786,0.9999999997114609,2,1.4999999995671913,3
NM-03,NAMING,Claude 3.5 Haiku,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
NM-03,NAMING,Claude Sonnet 4,4,0.5080572736416079,0.0,0.888923483818549,0.6064371104746672,0.43025987058152126,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
NM-03,NAMING,GPT-4o,4,0.536264426047792,0.0,0.9219455585264408,0.7822699545078576,0.5091109976908675,0.8112781241705938,2,-1.4426951601859516e-10,1
NM-03,NAMING,GPT-4o-mini,4,0.5530052789401642,0.0,0.8671023965141611,0.8408289241622575,0.634043327454615,0.8112781241705938,2,-1.4426951601859516e-10,1
NM-03,NAMING,Gemini 2.5 Flash,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
NM-03,NAMING,Gemini 2.5 Pro,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
NM-03,NAMING,o3-mini,4,0.42706217582918293,0.0,0.8030236981849885,0.4433871186559359,0.250858850312931,-1.4426951601859516e-10,1,1.4999999995671913,3
NM-04,NAMING,Claude 3.5 Haiku,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
NM-04,NAMING,Claude Sonnet 4,4,0.226374070781433,0.0,0.31802721088435376,0.3091287635803986,0.2336101021989194,1.4999999995671913,3,1.4999999995671913,3
NM-04,NAMING,GPT-4o,4,0.5437604023267377,0.0,0.9076118326118325,0.7064918414918416,0.5037271724706814,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
NM-04,NAMING,GPT-4o-mini,4,0.6659225660992834,0.0,0.9782608695652173,0.94,0.8890489913544668,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
NM-04,NAMING,Gemini 2.5 Flash,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
NM-04,NAMING,Gemini 2.5 Pro,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
NM-04,NAMING,o3-mini,4,0.36881129904369503,0.0,0.7292742097590622,0.4676326023214972,0.28644150750135383,1.4999999995671913,3,1.9999999994229218,4
NM-05,NAMING,Claude 3.5 Haiku,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
NM-05,NAMING,Claude Sonnet 4,4,0.24658922955626156,0.0,0.0,0.5969196748800417,0.40359085269312395,0.9999999997114609,2,1.4999999995671913,3
NM-05,NAMING,GPT-4o,4,0.4721919057316728,0.0,0.883790557474768,0.6239606746706138,0.39856976501715585,0.9999999997114609,2,-1.4426951601859516e-10,1
NM-05,NAMING,GPT-4o-mini,4,0.4241988617431499,0.0,0.8383239331768744,0.518845720674989,0.2526089230196887,0.8112781241705938,2,-1.4426951601859516e-10,1
NM-05,NAMING,Gemini 2.5 Flash,4,0.37295739586098026,0.0,0.5,0.5,0.5,0.8112781241705938,2,0.8112781241705938,2
NM-05,NAMING,Gemini 2.5 Pro,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
NM-05,NAMING,o3-mini,4,0.14517006551727812,0.0,0.14473684210526316,0.1915265009100761,0.1378703652968012,1.4999999995671913,3,1.4999999995671913,3
OD-01,OPEN_DESIGN,Claude 3.5 Haiku,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
OD-01,OPEN_DESIGN,Claude Sonnet 4,4,0.5317799024323728,0.0,0.9102564102564101,0.7723548482169171,0.5119162290927114,0.8112781241705938,2,0.8112781241705938,2
OD-01,OPEN_DESIGN,GPT-4o,4,0.568650479391247,0.0,0.9103027839869946,0.8125365497076024,0.5237831563211255,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
OD-01,OPEN_DESIGN,GPT-4o-mini,4,0.5641162090142927,0.0,0.9484126984126985,0.6942028985507246,0.5878163646410945,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
OD-01,OPEN_DESIGN,Gemini 2.5 Flash,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
OD-01,OPEN_DESIGN,Gemini 2.5 Pro,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
OD-01,OPEN_DESIGN,o3-mini,4,0.4138357615933703,0.0,0.7892283867893624,0.6543823326432022,0.23768132235308206,1.4999999995671913,3,0.9999999997114609,2
OD-02,OPEN_DESIGN,Claude 3.5 Haiku,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
