model,prompts,hivemind_mean,hivemind_std,embedding_similarity_mean,ast_similarity_mean,naming_similarity_mean,pattern_entropy_mean
Claude 3.5 Haiku,30,0.7000000000048091,0.0,0.0,1.0,1.0,-1.4426951601859516e-10
Gemini 2.5 Pro,30,0.7000000000048091,0.0,0.0,1.0,1.0,-1.4426951601859516e-10
Gemini 2.5 Flash,30,0.6890985798666815,0.059709537184935865,0.0,0.9833333333333333,0.9833333333333333,0.02704260399955926
GPT-4o,30,0.543355117592425,0.1268686919407631,0.0,0.8526436785086166,0.7520283001683407,0.40187968719826017
GPT-4o-mini,30,0.5287555420058918,0.13052009846962878,0.0,0.7694787153328618,0.7459974754759767,0.3289222913565159
o3-mini,30,0.36914928096468463,0.10744266776332563,0.0,0.7010832347224932,0.4614434519944085,1.045588957878913
Claude Sonnet 4,30,0.35201058970613863,0.15937573313025552,0.0,0.4382355448153975,0.549614246027445,0.7974686453512853
