model,inter_ngram,inter_ast,inter_naming,inter_import_match,intra_ast,intra_naming
Claude 3.5 Haiku,0.339,0.356,0.339,0.567,1.000,1.000
Claude Sonnet 4,0.052,0.180,0.104,0.428,0.438,0.538
GPT-4o,0.088,0.283,0.151,0.294,0.853,0.743
GPT-4o-mini,0.095,0.273,0.159,0.339,0.769,0.732
Gemini 2.5 Flash,0.339,0.356,0.339,0.567,0.983,0.983
Gemini 2.5 Pro,0.339,0.356,0.339,0.567,1.000,1.000
o3-mini,0.085,0.270,0.145,0.328,0.701,0.436
