category,ast_sim,naming_sim,import_match,pattern_jaccard,ngram_sim
Algorithm,0.4020,0.2727,0.5905,0.3270,0.2164
Creative,0.2314,0.1750,0.4000,0.2643,0.1649
Naming,0.3091,0.2236,0.2571,0.3246,0.1893
Open Design,0.2787,0.2279,0.4381,0.3219,0.1870
Refactor,0.3381,0.2645,0.5619,0.3124,0.2154
System Design,0.2176,0.1866,0.4000,0.2770,0.1720
